"facility_name","latitude","longitude","description","species_description","run_description","stock_description","Origin_desc","Description","quasi_noaa_name","nosa_esa_pop_name","stock_id","comments"
"MERWIN HATCHERY",45.9549,-122.5647,"EggTake","STEELHEAD","WINTERLATE","Lewis River","Wild Origin","AD","Lewis River WINTER STEELHEAD","Steelhead (Lower Columbia River DPS) North Fork Lewis River - winter","221E528E-D73A-40AC-94C5-421B2743FCCA",NA
"MERWIN HATCHERY",45.9549,-122.5647,"EggTake","STEELHEAD","WINTERLATE","Lewis River","Wild Origin","Unmarked","Lewis River WINTER STEELHEAD","Steelhead (Lower Columbia River DPS) North Fork Lewis River - winter","221E528E-D73A-40AC-94C5-421B2743FCCA",NA
"NORTH TOUTLE HATCHERY",46.3746,-122.572,"EggTake","CHINOOK","FALL","Toutle River","Mixed Hatchery/Wild Origin","AD","Toutle River FALL CHINOOK","Salmon, Chinook (Lower Columbia River ESU) Toutle River - fall","B1FE67B3-5D33-4978-AF69-1C3C5650A2F3",NA
"NORTH TOUTLE HATCHERY",46.3746,-122.572,"EggTake","CHINOOK","FALL","Toutle River","Mixed Hatchery/Wild Origin","Unmarked","Toutle River FALL CHINOOK","Salmon, Chinook (Lower Columbia River ESU) Toutle River - fall","B1FE67B3-5D33-4978-AF69-1C3C5650A2F3",NA
"NORTH TOUTLE HATCHERY",46.3746,-122.572,"EggTake","COHO","TYPE S","Toutle River","Hatchery Origin","AD","Toutle River FALL COHO","Salmon, coho (Lower Columbia River ESU) North Fork Toutle River - early and late","DB8AF0AD-BAE9-480B-8A2F-643BF842E6B1",NA
"NORTH TOUTLE HATCHERY",46.3746,-122.572,"EggTake","COHO","TYPE S","Toutle River","Mixed Hatchery/Wild Origin","AD","Toutle River FALL COHO","Salmon, coho (Lower Columbia River ESU) North Fork Toutle River - early and late","DB8AF0AD-BAE9-480B-8A2F-643BF842E6B1",NA
"NORTH TOUTLE HATCHERY",46.3746,-122.572,"EggTake","COHO","TYPE S","Toutle River","Mixed Hatchery/Wild Origin","Unmarked","Toutle River FALL COHO","Salmon, coho (Lower Columbia River ESU) North Fork Toutle River - early and late","DB8AF0AD-BAE9-480B-8A2F-643BF842E6B1",NA
"NORTH TOUTLE HATCHERY",46.3746,-122.572,"EggTake","COHO","TYPE S","Toutle River","Wild Origin","Unmarked","Toutle River FALL COHO","Salmon, coho (Lower Columbia River ESU) North Fork Toutle River - early and late","DB8AF0AD-BAE9-480B-8A2F-643BF842E6B1",NA
"SKAMANIA HATCHERY",45.6208,-122.2179,"EggTake","CUTTHROAT","RESIDENT COASTAL","Skamania","Hatchery Origin","Unmarked","Skamania RESIDENT COASTAL CUTTHROAT",NA,NA,NA
"SKAMANIA HATCHERY",45.6208,-122.2179,"EggTake","STEELHEAD","SUMMER","Skamania","Hatchery Origin","AD","Skamania SUMMER STEELHEAD",NA,NA,NA
"SKAMANIA HATCHERY",45.6208,-122.2179,"EggTake","STEELHEAD","SUMMER","Skamania Hatchery Stock","Hatchery Origin","AD","Skamania Hatchery Stock SUMMER STEELHEAD",NA,NA,NA
"SKAMANIA HATCHERY",45.6208,-122.2179,"EggTake","STEELHEAD","WINTER","Skamania","Hatchery Origin","AD","Skamania WINTER STEELHEAD",NA,NA,NA
"SKAMANIA HATCHERY",45.6208,-122.2179,"EggTake","STEELHEAD","WINTER","Skamania Hatchery Stock","Hatchery Origin","AD","Skamania Hatchery Stock WINTER STEELHEAD",NA,NA,NA
"SPEELYAI HATCHERY",45.9887,-122.4053,"EggTake","CHINOOK","SPRING","Lewis River","Hatchery Origin","AD","Lewis River SPRING CHINOOK","Salmon, Chinook (Lower Columbia River ESU) North Fork Lewis River - spring","BDB87F1F-D64E-47A8-8CE6-0B6BC415973F","was lewis spring chinook ever integrated?"
"SPEELYAI HATCHERY",45.9887,-122.4053,"EggTake","CHINOOK","SPRING","Lewis River","Hatchery Origin","Unknown","Lewis River SPRING CHINOOK","Salmon, Chinook (Lower Columbia River ESU) North Fork Lewis River - spring","BDB87F1F-D64E-47A8-8CE6-0B6BC415973F","was lewis spring chinook ever integrated?"
"SPEELYAI HATCHERY",45.9887,-122.4053,"EggTake","CHINOOK","SPRING","Lewis River","Hatchery Origin","Unmarked","Lewis River SPRING CHINOOK","Salmon, Chinook (Lower Columbia River ESU) North Fork Lewis River - spring","BDB87F1F-D64E-47A8-8CE6-0B6BC415973F","was lewis spring chinook ever integrated?"
"SPEELYAI HATCHERY",45.9887,-122.4053,"EggTake","CHINOOK","SPRING","Lewis River","Mixed Hatchery/Wild Origin","AD","Lewis River SPRING CHINOOK","Salmon, Chinook (Lower Columbia River ESU) North Fork Lewis River - spring","BDB87F1F-D64E-47A8-8CE6-0B6BC415973F","was lewis spring chinook ever integrated?"
"SPEELYAI HATCHERY",45.9887,-122.4053,"EggTake","CHINOOK","SPRING","Lewis River","Mixed Hatchery/Wild Origin","Unmarked","Lewis River SPRING CHINOOK","Salmon, Chinook (Lower Columbia River ESU) North Fork Lewis River - spring","BDB87F1F-D64E-47A8-8CE6-0B6BC415973F","was lewis spring chinook ever integrated?"
"SPEELYAI HATCHERY",45.9887,-122.4053,"EggTake","CHINOOK","SPRING","Lewis River Hatchery Stock","Hatchery Origin","AD","Lewis River Hatchery Stock SPRING CHINOOK","Salmon, Chinook (Lower Columbia River ESU) North Fork Lewis River - spring","BDB87F1F-D64E-47A8-8CE6-0B6BC415973F","was lewis spring chinook ever integrated?"
"SPEELYAI HATCHERY",45.9887,-122.4053,"EggTake","CHINOOK","SPRING","Lewis River Hatchery Stock","Hatchery Origin","Unknown","Lewis River Hatchery Stock SPRING CHINOOK","Salmon, Chinook (Lower Columbia River ESU) North Fork Lewis River - spring","BDB87F1F-D64E-47A8-8CE6-0B6BC415973F","was lewis spring chinook ever integrated?"
"SPEELYAI HATCHERY",45.9887,-122.4053,"EggTake","CHINOOK","SPRING","Lewis River Hatchery Stock","Hatchery Origin","Unmarked","Lewis River Hatchery Stock SPRING CHINOOK","Salmon, Chinook (Lower Columbia River ESU) North Fork Lewis River - spring","BDB87F1F-D64E-47A8-8CE6-0B6BC415973F","was lewis spring chinook ever integrated?"
"SPEELYAI HATCHERY",45.9887,-122.4053,"EggTake","COHO","TYPE N","Lewis River","Hatchery Origin","AD","Lewis River FALL COHO","Salmon, coho (Lower Columbia River ESU) North Fork Lewis River - early and late","48D5363E-85A4-45B3-AC34-112780345C7E",NA
"SPEELYAI HATCHERY",45.9887,-122.4053,"EggTake","COHO","TYPE N","Lewis River","Hatchery Origin","Unmarked","Lewis River FALL COHO","Salmon, coho (Lower Columbia River ESU) North Fork Lewis River - early and late","48D5363E-85A4-45B3-AC34-112780345C7E",NA
"SPEELYAI HATCHERY",45.9887,-122.4053,"EggTake","COHO","TYPE N","Lewis River","Mixed Hatchery/Wild Origin","AD","Lewis River FALL COHO","Salmon, coho (Lower Columbia River ESU) North Fork Lewis River - early and late","48D5363E-85A4-45B3-AC34-112780345C7E",NA
"SPEELYAI HATCHERY",45.9887,-122.4053,"EggTake","COHO","TYPE N","Lewis River","Mixed Hatchery/Wild Origin","Unmarked","Lewis River FALL COHO","Salmon, coho (Lower Columbia River ESU) North Fork Lewis River - early and late","48D5363E-85A4-45B3-AC34-112780345C7E",NA
"SPEELYAI HATCHERY",45.9887,-122.4053,"EggTake","COHO","TYPE N","Lewis River","Wild Origin","Unmarked","Lewis River FALL COHO","Salmon, coho (Lower Columbia River ESU) North Fork Lewis River - early and late","48D5363E-85A4-45B3-AC34-112780345C7E",NA
"SPEELYAI HATCHERY",45.9887,-122.4053,"EggTake","COHO","TYPE S","Lewis River","Hatchery Origin","AD","Lewis River FALL COHO","Salmon, coho (Lower Columbia River ESU) North Fork Lewis River - early and late","48D5363E-85A4-45B3-AC34-112780345C7E",NA
"SPEELYAI HATCHERY",45.9887,-122.4053,"EggTake","COHO","TYPE S","Lewis River","Hatchery Origin","Unmarked","Lewis River FALL COHO","Salmon, coho (Lower Columbia River ESU) North Fork Lewis River - early and late","48D5363E-85A4-45B3-AC34-112780345C7E",NA
"SPEELYAI HATCHERY",45.9887,-122.4053,"EggTake","COHO","TYPE S","Lewis River Hatchery Stock","Hatchery Origin","AD","Lewis River Hatchery Stock FALL COHO","Salmon, coho (Lower Columbia River ESU) North Fork Lewis River - early and late","48D5363E-85A4-45B3-AC34-112780345C7E",NA
"SPEELYAI HATCHERY",45.9887,-122.4053,"EggTake","COHO","TYPE S","Lewis River Hatchery Stock","Hatchery Origin","Undeterminable","Lewis River Hatchery Stock FALL COHO","Salmon, coho (Lower Columbia River ESU) North Fork Lewis River - early and late","48D5363E-85A4-45B3-AC34-112780345C7E",NA
"SPEELYAI HATCHERY",45.9887,-122.4053,"EggTake","COHO","TYPE S","Lewis River Hatchery Stock","Hatchery Origin","Unmarked","Lewis River Hatchery Stock FALL COHO","Salmon, coho (Lower Columbia River ESU) North Fork Lewis River - early and late","48D5363E-85A4-45B3-AC34-112780345C7E",NA
"WASHOUGAL HATCHERY",45.6518,-122.166,"EggTake","CHINOOK","FALL","Washougal River","Hatchery Origin","AD","Washougal River FALL CHINOOK","Salmon, Chinook (Lower Columbia River ESU) Washougal River - fall","1F2F9F62-FE8F-4934-A1E3-DBAFF7FE49F9",NA
"WASHOUGAL HATCHERY",45.6518,-122.166,"EggTake","CHINOOK","FALL","Washougal River","Hatchery Origin","Unmarked","Washougal River FALL CHINOOK","Salmon, Chinook (Lower Columbia River ESU) Washougal River - fall","1F2F9F62-FE8F-4934-A1E3-DBAFF7FE49F9",NA
"WASHOUGAL HATCHERY",45.6518,-122.166,"EggTake","CHINOOK","FALL","Washougal River","Mixed Hatchery/Wild Origin","AD","Washougal River FALL CHINOOK","Salmon, Chinook (Lower Columbia River ESU) Washougal River - fall","1F2F9F62-FE8F-4934-A1E3-DBAFF7FE49F9",NA
"WASHOUGAL HATCHERY",45.6518,-122.166,"EggTake","CHINOOK","FALL","Washougal River","Mixed Hatchery/Wild Origin","Unmarked","Washougal River FALL CHINOOK","Salmon, Chinook (Lower Columbia River ESU) Washougal River - fall","1F2F9F62-FE8F-4934-A1E3-DBAFF7FE49F9",NA
"WASHOUGAL HATCHERY",45.6518,-122.166,"EggTake","CHINOOK","FALL","Washougal River Hatchery Stock","Hatchery Origin","AD","Washougal River Hatchery Stock FALL CHINOOK","Salmon, Chinook (Lower Columbia River ESU) Washougal River - fall","1F2F9F62-FE8F-4934-A1E3-DBAFF7FE49F9",NA
"WASHOUGAL HATCHERY",45.6518,-122.166,"EggTake","CHINOOK","FALL","Washougal River Hatchery Stock","Mixed Hatchery/Wild Origin","AD","Washougal River Hatchery Stock FALL CHINOOK","Salmon, Chinook (Lower Columbia River ESU) Washougal River - fall","1F2F9F62-FE8F-4934-A1E3-DBAFF7FE49F9",NA
"WASHOUGAL HATCHERY",45.6518,-122.166,"EggTake","CHINOOK","FALL","Washougal River Hatchery Stock","Mixed Hatchery/Wild Origin","Unmarked","Washougal River Hatchery Stock FALL CHINOOK","Salmon, Chinook (Lower Columbia River ESU) Washougal River - fall","1F2F9F62-FE8F-4934-A1E3-DBAFF7FE49F9",NA
"WASHOUGAL HATCHERY",45.6518,-122.166,"EggTake","CHUM","NA","Columbia River","Wild Origin","Unmarked","Columbia River FALL CHUM","Salmon, chum (Columbia River ESU) Washougal River - fall","2CB705B7-0D2C-483F-88D3-80226165224B",NA
"WASHOUGAL HATCHERY",45.6518,-122.166,"EggTake","CHUM","NA","I-205","Wild Origin","Unmarked","I-205 FALL CHUM","Salmon, chum (Columbia River ESU) Washougal River - fall","2CB705B7-0D2C-483F-88D3-80226165224B",NA
"WASHOUGAL HATCHERY",45.6518,-122.166,"EggTake","COHO","TYPE N","Klickitat River","Hatchery Origin","AD","Klickitat River FALL COHO",NA,NA,NA
"WASHOUGAL HATCHERY",45.6518,-122.166,"EggTake","COHO","TYPE N","Washougal River","Hatchery Origin","AD","Washougal River FALL COHO","Salmon, coho (Lower Columbia River ESU) Washougal River - late","40B850DA-D2AF-43DE-9E39-495518B517BE",NA
"WASHOUGAL HATCHERY",45.6518,-122.166,"EggTake","COHO","TYPE N","Washougal River","Mixed Hatchery/Wild Origin","AD","Washougal River FALL COHO","Salmon, coho (Lower Columbia River ESU) Washougal River - late","40B850DA-D2AF-43DE-9E39-495518B517BE",NA
"WASHOUGAL HATCHERY",45.6518,-122.166,"EggTake","COHO","TYPE N","Washougal River","Mixed Hatchery/Wild Origin","Unmarked","Washougal River FALL COHO","Salmon, coho (Lower Columbia River ESU) Washougal River - late","40B850DA-D2AF-43DE-9E39-495518B517BE",NA
"WASHOUGAL HATCHERY",45.6518,-122.166,"EggTake","COHO","TYPE N","Washougal River Hatchery Stock","Hatchery Origin","AD","Washougal River Hatchery Stock FALL COHO",NA,NA,NA
